Name,Email,Skills,Corrected_Name,Corrected_Email
JESSICA CLAIRE,resumesample@example.com,"Programming Languages - Competent in C#, Java, Python; Web Development - HTML/5, CSS/; 3,; Javascript, JSON, node.js,; mongoDB; Development Tools - git, Visual; Studio,; Eclipse; Adobe Products - Photoshop, Illustrator, InDesign",JESSICA CLAIRE,jessica.claire@example.com
JESSICA,resumesample@example.com,"Programming Languages -; ‘Competent in C#, Java, Python; Web Development - HTML/5, CSS/; 3,; Javascript, JSON, node.js,; mongoDB; Development Tools - git, Visual; studio,; Eclipse; ‘Adobe Products - Photoshop,; llustrator, InDesign",Brandon Brooks,brandon.brooks@example.com
JESSICA CLAIRE,resumesample@example.com,"• R & Python Programming; • Data & Process Mining; • Predictive Analytics (Machine Learning, Deep Learning, and; Forecasting) Theory and Applications",JESSICA CLAIRE,jessica.claire@example.com
Jessica CLAIRE,,"« R & Python Programming * Problem Solving, Leadership & Management; * Data & Process Mining * Excellent Verbal & Written Communications; * Predictive Analytics (Machine Learning, Deep Learning, and; Forecasting) Theory and Applications",Jessica CLAIRE,jessica.claire@example.com
JESSICA CLAIRE,resumesample@example.com,• Supervision & Leadership; • System/Process Optimization; • Data Management & Analytics; • Critical Thinking; • Problem Resolution,JESSICA CLAIRE,jessica.claire@example.com
JESSICA CLAIRE,resumesample@example.com,"achievement,; * Researched competitors to build report of rising trends in data acquisition market.; Collaborated with stakeholders to define project objectives and criteria.; Interacted with internal customers to understand business needs and translate into requirements and project scope.; Delivered analysis of market, sales and consumer trend impact on long and short-term strategies.; Generated business intelligence reports to inform strategic decision-making.; ‘Analyzed key aspects of business to evaluate factors driving results and summarized into presentations.; 12/2019 to 03/2022 Business System Analyst; Advantagecare Physicians — Meriden, CT; ‘* Devised solutions and implemented approaches to high profile challenges.; ‘= Assessed business requirements to create focused solutions.; ‘© Gathered, reviewed and reported on findings; Identified needed business improvements and determined appropriate systems required to implement solutions.; Improved systems with addition of new features and infrastructure.; Organized system operating procedures to strengthen controls.; Created and maintained standard operating procedures governing system functions and features.; Produced charts and diagrams to assist with problem analysis; ‘* Managed interactions and fostered collaboration with project stakeholders, senior-level executive management,; technology vendors, and application development managers.; ‘* Explained technical concepts to non-technical staff members in easy to understand language and concepts.; 08/2018 to 12/2019 Project Development Coordinator; Leidos — Patuxent River, MD",JESSICA CLAIRE,jessica.claire@example.com
JESSICA CLAIRE,resumesample@example.com,"• Python (SciPy, pandas, sklearn, matplotlib, TensorFlow, Keras,; NLTK, spaCy); • R; • SQL; • NoSQL; • Machine Learning; • Deep Learning; • ANN; • CNN,; • RNN; • PCA; • NLP; • Time-series analysis; • Prescriptive analytics; • Optimization; • A/B testing; • Power BI; • Google Analytics; • PostgreSQL; • MySQL; • JMP; • Gurobi; • Salesforce; • Bloomberg; • Capital IQ; • Marketing analytics (e-commerce); • Fraud detection; • Text analytics; • Game analytics; • Web analytics; • Tableau; Data Science Summer Intern, 04/2020 - Current; American Institutes For Research - Austin, TX; Incoming Data Science - Product Analytics Summer Intern.; WORK HISTORY; Data Science Summer Intern, 06/2019-08/2019; American Institutes For Research - Chicago, IL, China; • Built time series models to forecast sales by competitive benchmarking; measured conversion rates for 36 sales regions, suggested an optimized pricing strategy and increased monthly revenue by 20% in 3 months.; • Performed root cause analysis to identify reasons for customer dissatisfaction; recommended and implemented customer operations strategies to drive Net Promoter Score, reported findings directly to Managing Director, Asia.; • Created 3 data visualization dashboards including 18 metrics using SQL and Power BI independently.; • Streamlined reporting to drive enhanced analytics; worked cross-functionally with sales and marketing departments to provide weekly reports, assisted the business development team in achieving the Q3 $1M revenue target.; Venture Capital Summer Analyst, 06/2018 - 12/2018; Tiller Partners - City, STATE; • Conducted due diligence investigations; identified investment risks, assessed positioning and marketing strategies for 8 potential investments and 2 portfolio companies in a multitude of markets.; • Recommended Series B financing in AppOnboard, a mobile app demo platform partnering with Google Play Instant.",JESSICA CLAIRE,jessica.claire@example.com
JESSICA CLAIRE,resumesample@example.com,"Programming: SQL and Python; Python Libraries: Scikit-learn, pandas, numpy, geopandas, flask Machine Learning: Supervised and Unsupervised, Regression, Classification, Clustering, Parameter Tuning, Feature Engineering, Scikit-learn, Ensemble Methods, XGBoost, Decision Trees, Segmentation, NLP, NLTK, data scraping; Methodology: Agile",JESSICA CLAIRE,jessica.claire@example.com
Summary,resumesample@example.com,"0.98; © Converted sentences into their past tense using pyinflect NLP library in Spacy and achieved 80% grammatical; accuracy using gingerit; © Collaborated with team members within an agile framework for increased efficiency; Twitter Image Extraction; © Designed an algorithm for a digital marketing company that leverages the power of Tweets to achieve marketing, and; branding goals for their clients; increased ROI by 45%; © Built and automated a pipeline using twitter API tweepy to extract tweets, location, images, and videos from twitter; based on a particular hashtag; a 50% sise in tweepy performance by error identification, debugging and filtering; o Launched an AWS RDS database for storing the scraped twitter information in form a table using PostgreSQL.; © Deployed the algorithm on the AWS server using $3 bucket triggered lambda function which would run the python; script to collect information on a requested hashtag; Analytical Chemist; Covance — Redmond, WA; * Created analytic reports leveraging advanced statistical methods, organized and managed other analytic work in the; department (managed data, data ingestion and analysis, delivery of results to senior managers and supervisors,; ‘managed junior team members); ‘Instructed Undergrad Lab Technicians on laboratory instrumentation operation and chemical preparation; ‘* Designed and presented safety training programs to researchers, students, visiting scholars, and technical staff; ‘* Demonstrated how to prepare solutions, calibrate instruments, resolve issues, and maintain chemical inventories; ‘* Inspected and confirmed equipment in the undergrad teaching chemical engineering lab was properly calibrated; Geochemistry Data Analyst; Activation Laboraties — City, STATE; ‘* Built compelling data stories and visualizations to influence decision makers.; ‘+ Applied data reduction and exploratory analysis techniques to manage large amounts of data,; ‘Interpreted and analyzed data using exploratory mathematic and statistical techniques based on scientific methods.; ‘+ Produced in-depth analyses and proposed solutions to meet complex business needs.; ‘+ Applied mathematical techniques to solve complex problems and develop quantitative based assessments.; Partnered with functional teams to evaluate new data sources and advise on data format and data dictionary.; Identified data anomalies and worked with business units to perform root cause analysis and resolve issues.; Collaborated with other scientists, ML engineers and program managers to execute data science roadmap.; Created quarterly plans centered on meeting short- and long-term objectives by maximizing impact and; coordinating tests in collaboration with stakeholders.; Cleaned and manipulated raw data.; ‘© Used statistical software to analyze and process large data sets.; ‘© Developed new functions and applications to conduct analyses.; * Created graphs and charts detailing data analysis results; Conducted trace elemental analysis using inductively coupled plasma mass spectrometry for environmental samples; Performed acid digestion using HF for soil, sediments, and sludges for complete dissolution of the analytes into; solution and ensured perfect accuracy and execution as mistakes could cause serious harm; Performed lab procedures such as automated titration to examine iron oxide content in rock and soil samples; Leveraged visual basis macros to calculate the trace metals concentration by considering external calibration; standards, internal standard and matrix interference; Interpreted environmental data including control charts and range ratios according to company’s standard operating; procedures and quality control guidelines; Evaluated non-conformance reports by identifying root cause and applying corrective actions; Epucation Np TRAINING; 04/2022; 11/2017; 08/2016; Associate of Applied Science: Data Science; Toronto Institute of Data Science - Toronto; Master of Science: Chemical Engineering; University of Toronto - Toronto, ON; Bachelor of Science: Environmental Chemistry; University of Toronto - Toronto, ON",Amy Coleman,amy.coleman@example.com
JESSICA CLAIRE,resumesample@example.com,"Python, Collibra, R, SQL, Tableau, Alteryx, C, C++, Java, NoSQL,; AWS, VMware, Linux, Windows, Debugging, Algorithms,; Machine Learning, Software Development, Agile, IDE, JavaScript, SQL, Git, Jira",JESSICA CLAIRE,jessica.claire@example.com
Jessica CLAIRE,,"and python development. He has successfully implemented machine learning models using H2O across various industries and; consistently adds value to his clients and employers.; His expertise in data integrity, security, and governance measures ensures the utmost care in handling sensitive information. Jessica's; solutions that address specific needs,; Jessica holds a Bachelor of Engineering and Bachelor of Science Degree from Macquarie University and a Graduate Diploma of Data",Jessica CLAIRE,jessica.claire@example.com
JESSICA CLAIRE,resumesample@example.com,"Programming: SQL and Python; Python Libraries: Scikit-learn, pandas, numpy, geopandas, flask Machine Learning: Supervised and Unsupervised, Regression, Classification, Clustering, Parameter Tuning, Feature Engineering, Scikit-learn, Ensemble Methods, XGBoost, Decision Trees, Segmentation, NLP, NLTK, data scraping Methodology: Agile",JESSICA CLAIRE,jessica.claire@example.com
Summary,resumesample@example.com,"0.98; © Converted sentences into their past tense using pyinflect NLP library in Spacy and achieved 80% grammatical; accuracy using gingerit; © Collaborated with team members within an agile framework for increased efficiency; Twitter Image Extraction; © Designed an algorithm for a digital marketing company that leverages the power of Tweets to achieve marketing, and; branding goals for their clients; increased ROI by 45%; © Built and automated a pipeline using twitter API tweepy to extract tweets, location, images, and videos from twitter; based on a particular hashtag; a 50% sise in tweepy performance by error identification, debugging and filtering; o Launched an AWS RDS database for storing the scraped twitter information in form a table using PostgreSQL.; © Deployed the algorithm on the AWS server using $3 bucket triggered lambda function which would run the python; script to collect information on a requested hashtag; Analytical Chemist; Curaleaf — Ocala, FL; * Created analytic reports leveraging advanced statistical methods, organized and managed other analytic work in the; department (managed data, data ingestion and analysis, delivery of results to senior managers and supervisors,; ‘managed junior team members); ‘Instructed Undergrad Lab Technicians on laboratory instrumentation operation and chemical preparation; ‘* Designed and presented safety training programs to researchers, students, visiting scholars, and technical staff; ‘* Demonstrated how to prepare solutions, calibrate instruments, resolve issues, and maintain chemical inventories; ‘* Inspected and confirmed equipment in the undergrad teaching chemical engineering lab was properly calibrated; Geochemistry Data Analyst; Activation Laboraties — City, STATE; ‘* Built compelling data stories and visualizations to influence decision makers.; ‘+ Applied data reduction and exploratory analysis techniques to manage large amounts of data,; ‘Interpreted and analyzed data using exploratory mathematic and statistical techniques based on scientific methods.; ‘+ Produced in-depth analyses and proposed solutions to meet complex business needs.; ‘+ Applied mathematical techniques to solve complex problems and develop quantitative based assessments.; Partnered with functional teams to evaluate new data sources and advise on data format and data dictionary.; Identified data anomalies and worked with business units to perform root cause analysis and resolve issues.; Collaborated with other scientists, ML engineers and program managers to execute data science roadmap.; Created quarterly plans centered on meeting short- and long-term objectives by maximizing impact and; coordinating tests in collaboration with stakeholders.; Cleaned and manipulated raw data.; ‘© Used statistical software to analyze and process large data sets.; ‘© Developed new functions and applications to conduct analyses.; * Created graphs and charts detailing data analysis results; Conducted trace elemental analysis using inductively coupled plasma mass spectrometry for environmental samples; Performed acid digestion using HF for soil, sediments, and sludges for complete dissolution of the analytes into; solution and ensured perfect accuracy and execution as mistakes could cause serious harm; Performed lab procedures such as automated titration to examine iron oxide content in rock and soil samples; Leveraged visual basis macros to calculate the trace metals concentration by considering external calibration; standards, internal standard and matrix interference; Interpreted environmental data including control charts and range ratios according to company’s standard operating; procedures and quality control guidelines; Evaluated non-conformance reports by identifying root cause and applying corrective actions; Epucation Np TRAINING; 04/2022; 11/2017; 08/2016; Associate of Applied Science: Data Science; Toronto Institute of Data Science - Toronto; Master of Science: Chemical Engineering; University of Toronto - Toronto, ON; Bachelor of Science: Environmental Chemistry; University of Toronto - Toronto, ON",Sandra Adams,sandra.adams@example.com
Paul Desmond,pa.desmond038@gmail.com,"¢ Led &supported the development, optimization and migration of new or existing technologies; e Brought the technology challenges into R&D through translating problems to implementation; e Developed technology concepts and guided equipment selection; ¢ Assisted inimplementation of technology from R&D to launch; ¢ Supported intellectual property, marketing and sales departments with relevant expertise",Paul Desmond,paul.desmond@example.com
EXPERIENCE,resumesample@example.com,"• Predictive Modeling ü Genetic Algorithms ü SAS; • GLM (Regression Techniques) ü Random Forrest ü SQL; • Classification & Clustering ü Boosting Algorithms ü Python; • NLP Techniques ü Decision Trees ü R (Learning); • Markov's Chain ü Dimensionality Reduction ü Tableau; • Support Vector Machines ü CNN (Learning) ü Excel/VBA,; • AI, banking, budgeting, business strategies, C, Clustering, consulting, Credit, credit risk, client, clients, data collection, decision making, designing, diagnosis, Excel VBA, Excel/VBA, inventory, leadership, legal, Machine Learning, marketing, market, Exchange, Modeling, NLP, Network, Neural, next, predict, pricing, Programming, Python, recruiting, research, Retail, risk assessment, selling, SAS, SQL, staffing, strategy, supply chain, Tableau, phones, phone, Upgrade, validation",Carol Flores,carol.flores@example.com
JESSICA CLAIRE,resumesample@example.com,"• Friendly, Positive Attitude; • Data Management; • Planning & Organizing; • Training & Development; • Critical Thinking; • Learn continuously; • Collaborate and share knowledge; • Focus on clients; • Communicate and influence; • Innovate and try new things; • Supervision & Leadership; • Active Listening; • Strong written and verbal communication",JESSICA CLAIRE,jessica.claire@example.com
Jessica CLAIRE,,"software delivery, and Data Warehouses. Proficient in developing advanced analytics and visualization solutions. Strong problem-",Jessica CLAIRE,jessica.claire@example.com
JESSICA CLAIRE,resumesample@example.com,".; •; •; .; SQL- MySQL / HiveQL / Oracle; SQL / PostGreSQL; Data Wrangling- Pandas / Dask / PySpark; Analytics- Tableau / Power Bi / Plotly; Webscraping - BeautifulSoup/ Selenium/ Chromium; Statistical Analysis - Scikit; Learns/Stats Models/Numpy/ R; Machine Learning - Scikit; Learns/ Tensorflow/ PyTorch; • Job Orchestrating- Crontab / Prefect; Spreadsheet - Excel (formulas, pivots, macros) / Smartsheet; • Version Control - Github/ GitLab; WORK HISTORY; Cox Communications Inc - Lead, Performance and Insights Coffeyville, KS⚫ 03/2022 - Current; • Developed Tableau Analytics for analyzing key business metrics, viewed and used by C-Suite, Operational, and Field leadership. Total Unique User base: 500+; • Utilized SQL and Python to wrangle data into useable tables as part of both ad hoc and ongoing data engineering efforts in Redshift.; • Created Utilization performance Indicators based on descriptive statistics and SLAs; examined effectiveness of programs as well predicted performance.; • Developed a Simulation of Fulfillment modelling, implemented in Anylogic Cloud and dashboarded with Plotly Dash.; Kia Motors North America - Data Scientist; City, STATE⚫ 07/2020 - 03/2022; • Transformed and preprocessed data using both Pandas and Dask, to maintain pipeline of data for Machine Learning.; • Dashboarded Machine Learning Results of Auction Models for rolling 90 Days. Leadership and C- Suite usage: 40 Unique Users.; Webscraping articles from news outlet websites and social media (Reddit, Twitter) as well as proprietary Auction Sites (AutoIMS.com); • Orchestrated data pipelines and model training runs using Prefect.; Kia Motors America - Data and Operations Analyst; City, STATE 08/2015 - 07/2020",JESSICA CLAIRE,jessica.claire@example.com
JESSICA,resumesample@example.com,"+ SQL- MySQL / HiveQL / Oracle; SQL / PostGresQL; + Data Wrangling- Pandas / Dask; 1 PySpark; + Analytics: Tableau / Power Bi /; Plotly; + Webscraping - BeautifulSoup/; Selenium/ Chromium; + Statistical analysis - Scikit; Learns/Stats Models /Numpy/ R; + Machine Learning - Scikit; Learns/ Tensorflow/ PyTorch; + Job Orchestrating- Crontab /; Prefect; + Spreadsheet - Excel (formulas,; pivots, macros) / Smartsheet; + Version Control - Github /; GitLab; WORK HISTORY; Cox Communications Inc - Lead, Performance and Insights; Coffeyville, KS + 03/2022 - Current; + Developed Tableau Analytics for analyzing key business metrics, viewed and used by C-Suite,; Operational, and Field leadership. Total Unique User base: 500+; + Utilized SQL and Python to wrangle data into useable tables as part of both ad hoc and ongoing; data engineering efforts in Redshift.; + Created Utilization performance Indicators based on descriptive statistics and SLAs; examined; effectiveness of programs as well predicted performance.; + Developed a Simulation of Fulfillment modelling, implemented in Anylogic Cloud and dashboarded; with Plotly Dash.; Kia Motors North America - Data Scientist; City, STATE « 07/2020 - 03/2022; + Transformed and preprocessed data using both Pandas and Dask, to maintain pipeline of data for; ‘Machine Learning.; + Dashboarded Machine Learning Results of Auction Models for rolling 90 Days. Leadership and C-; Suite usage: 40 Unique Users.; + Webscraping articles from news outlet websites and social media (Reddit, Twitter) as well as; proprietary Auction Sites (AutolMS.com); + Orchestrated data pipelines and model training runs using Prefect.; Kia Motors America - Data and Operations Analyst; City, STATE » 08/2015 - 07/2020",Justin Ward,justin.ward@example.com
PROFESSIONAL,resumesample@example.com,"•; Data as a Service / Self Service Data Analytics Product Envisioning & Innovation; •; Cross functional team leadership; •; Safe Agile Practitioner; •; IT Strategy Design / Roadmaps; • Agile Development Methodologies; Software as a Service (SaaS); REST APIS (A2A / B2B/A2B) - Apigee, Swagger Web Services - IBM Datapower; MYSQL/ORACLE/MONGO DB/Mainframe; DB2; PL-SQL/Hive QL; Data Science & Machine Learning; Big Data Analytics (Spark, Hive, SQOOP) Tableau - Reporting & Dashboards; Testing Tools - SOAPUI & Postman; WORK HISTORY; BIG DATA & DATA SCIENCE SOLUTIONS CONSULTANT Worldgroup Careers Mwt | Chicago, US-IL; •; •; 08/2018 to CURRENT; Big Data Analytics Platform - Successfully revamped data analytics & reporting model across American Express compliance domain by onboarding bigdata based analytics solutions. Enhanced report quality by 40% and reduced run time taken by 60%.; Machine Learning as a Service (MLaaS) - Established machine learning based cognitive automation solutions hosted over Enterprise Cloud Platform to provide ML solutions as RESTful APIs - Reduced manual effort by 25000 person hours per year.; Data as a Service (DaaS) - Initiated and successfully delivered big data based reusable data reporting product that decreased ""time to market"" by 80% and response times by 50% for data inquiries submitted by analysts.; Successfully delivered Data Science & Machine Learning efforts in Text Classification, Record Linking, Named Entity Recognition, Time Series Forecasting, Churn Analysis, Natural Language Understanding (NLU)/chatbots.; Innovation- Envisioned and successfully delivered a highly scalable cross platform effort in Computer Vision (OCR), NLP techniques such as ""Custom Entity Recognition"" to identify parties of interest in Subpoena documents and automate post entity data inquiry processes. Deployed OCR efforts over Microsoft Azure cloud for maximum scalability; Envisioned and pioneered product road map for migration data from legacy platforms to POA platforms and generate key business centric reports and Tableau dashboards to support Regulatory reporting and data requests from AML bodies such as FINCNEN.; Identify current business landscape, define multi-year product and IT strategy for APIs / Realtime services, define Swagger specification document, and author test strategy for APIs; Document & groom Features, User stories for each Program increment by working with Product teams, cross functions teams and create API features and personas necessary for successful API journey.; • Own API Life cycle, discuss with end users and analyze user inputs / reviews and incorporate them into API features; Provide periodic updates to leadership and stakeholders, resolve road blocks with concerned parties and ensure project readiness and deployment; OI SHORE TECH LEAD; American Express (consultant) | City, STATE; 12/2012 to 08/2018; Successfully designed Software as a Service (SaaS) strategy for Customer360 platform and led high performing team of engineers that completely modernized legacy application into REST APIs and Web services over multi year initiative.; Utilized Enterprise Cloud Platform and successfully created various Application to Application (A2A), Business to Business (B2B) APIs with scalability to handle millions of transactions per day and provide extremely high throughput / performance.; Gathered business insights, drove operational improvements and data quality enhancement efforts which resulted in savings of around $ 800K and improved profit margins",Benjamin Cox,benjamin.cox@example.com
PROFESSIONAL,resumesample@example.com,WORK HISTORY,Sandra Adams,sandra.adams@example.com
JESSICA CLAIRE,resumesample@example.com,"• Data as a Service / Self Service Data Analytics; • Product Envisioning & Innovation; • Cross functional team leadership; • Safe Agile Practitioner; • IT Strategy Design/Roadmaps; •; Agile Development Methodologies; • Software as a Service (SaaS); Work History; • REST APIs (A2A/B2B/A2B) - Apigee, Swagger; • Web Services - IBM Datapower; • MYSQL/ORACLE/MONGO DB/Mainframe DB2; • PL-SQL/Hive QL; • Data Science & Machine Learning; • Big Data Analytics (Spark, Hive, SQOOP); • Tableau - Reporting & Dashboards; • Testing Tools - SOAPUI & Postman; Product Development Manager - Data Science & ML, 08/2018 to Current Popular Inc - Caguas, PR; • Big Data Analytics Platform - Successfully revamped data analytics & reporting model across American Express compliance domain by onboarding bigdata based analytics solutions. Enhanced report quality by 40% and reduced run time taken by 60%. • Machine Learning as a Service (MLaaS) - Established machine learning based cognitive automation solutions hosted over Enterprise Cloud Platform to provide ML solutions as RESTful APIs - Reduced manual effort by 25000 person hours per year. • Data as a Service (DaaS) - Initiated and successfully delivered big data based reusable data reporting product that decreased ""time to market"" by 80% and response times by 50% for data inquiries submitted by analysts.; • Successfully delivered Data Science & Machine Learning efforts in Text Classification, Record Linking, Named Entity Recognition, Time Series Forecasting, Churn Analysis, Natural Language Understanding (NLU) / chatbots.; • Innovation- Envisioned and successfully delivered a highly scalable cross platform effort in Computer Vision (OCR), NLP; techniques such as ""Custom Entity Recognition"" to identify parties of interest in Subpoena documents and automate post entity; data inquiry processes. Deployed OCR efforts over Microsoft Azure cloud for maximum scalability; • Envisioned and pioneered product road map for migration data from legacy platforms to POA platforms and generate key business centric reports and Tableau dashboards to support Regulatory reporting and data requests from AML bodies such as FINCNEN.; • Identify current business landscape, define multi-year product and IT strategy for APIs/Realtime services, define Swagger specification document, and author test strategy for APIs.; • Document & groom Features, User stories for each Program increment by working with Product teams, cross functions teams and create API features and personas necessary for successful API journey.; • Own API Life cycle, discuss with end users and analyze user inputs/reviews and incorporate them into API features; • Provide periodic updates to leadership and stakeholders, resolve road blocks with concerned parties and ensure project readiness and deployment; Onshore Tech Lead, 12/2012 to 08/2018; American Express (consultant) - City, STATE; • Successfully designed Software as a Service (SaaS) strategy for Customer360 platform and led high performing team of engineers that completely modernized legacy application into REST APIs and Web services over multi year initiative.; • Utilized Enterprise Cloud Platform and successfully created various Application to Application (A2A), Business to Business (B2B) APIs with scalability to handle millions of transactions per day and provide extremely high throughput/performance.; • Gathered business insights, drove operational improvements and data quality enhancement efforts which resulted in savings of around $ 800K and improved profit margins",JESSICA CLAIRE,jessica.claire@example.com
Jessica CLAIRE,resumesample@example.com,"generate amazing products. A passion for technology, an innovative perspective conductive to change, able to meet pressure-packed; deadlines, and a self-starter.; * Data as a Service / Self Service Data Analytics; REST APIs (A2A / B2B / A2B) - Apigee, Swagger; Web Services - IBM Datapower; MYSQL / ORACLE / MONGO DB / Mainframe DB2; PL-SQL / Hive QL; Data Science & Machine Learning; Big Data Analytics (Spark, Hive, SQOOP); Tableau - Reporting & Dashboards; Testing Tools - SOAPUI & Postman; Product Envisioning & Innovation; Cross functional team leadership; « Safe Agile Practitioner; IT Strategy Design / Roadmaps; Agile Development Methodologies; * Software as a Service (SaaS); Work History; Product Development Manager - Data Science & ML, 08/2018 to Current; Popular Inc - Caguas, PR; « Big Data Analytics Platform - Successfully revamped data analytics & reporting model across American Express compliance; domain by onboarding bigdata based analytics solutions. Enhanced report quality by 40% and reduced run time taken by 60%.; * Machine Learning as a Service (MLaaS) - Established machine learning based cognitive automation solutions hosted over; Enterprise Cloud Platform to provide ML solutions as RESTful APIs - Reduced manual effort by 25000 person hours per year.; « Data as a Service (DaaS) - Initiated and successfully delivered big data based reusable data reporting product that decreased; “time to market"" by 80% and response times by 50% for data inquiries submitted by analysts.; + Successfully delivered Data Science & Machine Learning efforts in Text Classification, Record Linking, Named Entity; Recognition, Time Series Forecasting, Churn Analysis, Natural Language Understanding (NLU) / chatbots.; « Innovation- Envisioned and successfully delivered a highly scalable cross platform effort in Computer Vision (OCR), NLP; techniques such as “Custom Entity Recognition” to identify parties of interest in Subpoena documents and automate post entity; data inquiry processes. Deployed OCR efforts over Microsoft Azure cloud for maximum scalability; « Envisioned and pioneered product road map for migration data from legacy platforms to POA platforms and generate key; business centric reports and Tableau dashboards to support Regulatory reporting and data requests from AML bodies such as.; FINCNEN.; « Identify current business landscape, define multi-year product and IT strategy for APIs / Realtime services, define Swagger; specification document, and author test strategy for APIs .; * Document & groom Features, User stories for each Program increment by working with Product teams, cross functions teams; and create API features and personas necessary for successful API journey.; * Own API Life cycle, discuss with end users and analyze user inputs / reviews and incorporate them into API features; * Provide periodic updates to leadership and stakeholders, resolve road blocks with concerned parties and ensure project; readiness and deployment; Onshore Tech Lead, 12/2012 to 08/2018; American Express (consultant) — City, STATE; « Successfully designed Software as a Service (SaaS) strategy for Customer360 platform and led high performing team of engineers; that completely modernized legacy application into REST APIs and Web services over multi year initiative; * Utilized Enterprise Cloud Platform and successfully created various Application to Application (A2A), Business to Business; (B2B) APIs with scalability to handle millions of transactions per day and provide extremely high throughput / performance,; * Gathered business insights, drove operational improvements and data quality enhancement efforts which resulted in savings of; around $ 800K and improved profit margins; * Defined IT Strategy, solution architecture and successfully delivered business critical products across diverse technologies such",Jessica CLAIRE,jessica.claire@example.com
Professional Summary,resumesample@example.com,"• SQL (SnowFlake, Hadoop Hive/Impala, MS SQL, Teradata); • Statistical Analysis, Text Mining, Unsupervised Learning • Data Quality Assessment; • Dashboard Creation: Tableau, SAP Lumira",Professional Summary,professional.summary@example.com
JESSICA CLAIRE,resumesample@example.com,"• OS platform: Linux, Window OS, Cluster distributed computing (HPC); •NGS Data Processing: bulk RNA seq, ATAC-seq",JESSICA CLAIRE,jessica.claire@example.com
Jessica CLAIRE,resumesample@example.com,"bash scripting (Basic); * 05 platform: Linux, Window OS, Cluster distributed; computing (HPC); * NGS Data Processing: bulk RNA seq, ATAC-seq",Jessica CLAIRE,jessica.claire@example.com
JESSICA CLAIRE,resumesample@example.com,"• Data science; Sales Planning; • People Development; • Shopper Marketing; WORK HISTORY; • Forecasting; • Budget allocations; • P&L management; 01/2016 to Current Sr Director Data Science & Software Engineering Walmart International City, STATE; ➤ Advanced Analytics Solutioning - Create solutions and lead a team of data scientists aimed at leveraging internal, as well as external data to build analytical models in order to advance business capabilities and automate business processes and decisioning leveraging machine learning and AI; ➤ Strategic Development - Responsible for collaborating with cross functional business partners across multiple geographies to assess gaps in capabilities, as well as identify market trends in order to align data science capabilities to business needs and transform through new technologies developed by software engineering resources.; ➤ Shopper Marketing & Insights - Developed insights from analytics to understand customer behavior through customer decision tree's, item loyalty, item substitutability, demand transference, promotional effectiveness, and marketing effectiveness to improve ROI on marketing, labor, and assortment decisions; ➤ Implementation & Program Delivery - Responsible for jointly collaborating with business and technology partners in multiple geographies in an effort to implement newly created technologies in agile delivery methodology.; > Executive Communication - Responsible for owning relationships with Chief Merchandising and Chief Technology; Officer partners across markets within International business and ensuring product roadmaps were aligned to business needs and expected timelines.; ➤ People Development - built, developed and led cross functional team of 100 Walmart associates and 100 vendor partners across U.S., Mexico, and India; Aligned department vision, goals and objectives with company strategy to achieve consistently high results.; 08/2014 to 01/2016 Senior Director Global Business Processes; Walmart International - City, STATE; ➤ Business Development - Responsible for building capabilities, as well as subject matter expertise within Global Business Process organization aimed at advancing business' capabilities in people, processes, and technology related to merchandising initiatives. Responsible for working internally and externally with business leaders to forge relationships and stay informed of current industry best practices around the globe.; ➤ Strategic Development - Responsible for building and maintaining annual operating plans for various merchandising functions to include 3-year road map, capability needs, resource requirements, and key business partners. Also responsible for the design, development & deployment of strategies involving complex business challenges.; > Executive Communication - Responsible for owning relationships with country Chief Merchandising Officers and ensuring strategic alignment of business objectives. Maintain regular business updates as needed within the scope of various change management initiatives.; ➤ Change Management - Responsible for providing repeatable, executable business solutions related to various merchandising initiatives across the globe. Responsible for building and maintaining business maturity curves used to assess business' current capabilities and build strategies to bridge the gap between current state and future desired state. ➤ Internal Consultant - Responsible for evaluating ""as is"" processes and capabilities, while working with the business to provide strategic roadmap designed to advance capabilities while infusing customer analytics at the core of the decision making process.; 02/2007 to 08/2014 Sr Director Merch Planning/Business Analytics; Walmart U.S. - City, STATE; ➤ Associate Development - Assess talent strengths and opportunities within organization in order to build effective training plans for team to ensure training objectives are aligned with organizational goals and needs. Identify and Develop Talent within organization in order to better leverage resources and allow for succession planning. Manage roles, responsibilities, and opportunities to better maximize organizational performance.; ➤ Financial Accountability - Utilize Category Level performance metrics to ensure Department Level financial budget metrics are attained. Work with cross-functional team to ensure projections are accurate and identify gaps in the budget to help narrow and eliminate and gaps. Develop tactics and strategies aimed at delivering financial metrics outlined within the departmental budget.; > Budget - Responsible to leverage market data & CAGR to provide annual sales, profit, and inventory targets for $10B business across multiple categories and departments, as well as forecast anticipated market category share gains ➤ Judgment - using relevant business metrics, analyses, and reports to measure, monitor, and improve performance. ➤ Influence - collaborate with key stakeholders in order to better align around business objectives and communicate priorities, initiatives, and organizational information.; Directed design and execution of business transformation initiatives to drive performance, profit optimization and growth opportunities.; 03/2002 to 02/2007 Market Asset Protection Manager",JESSICA CLAIRE,jessica.claire@example.com
JESSICA CLAIRE,resumesample@example.com,R (Statistical Programming); Data Visualization; Data Mining; Statistics / Statistical Modelling; Experimentation and; Hypothesis Testing; Python; SQL; Dashboard Development; • Pyspark; Cloud Computing (Azure and AWS),JESSICA CLAIRE,jessica.claire@example.com
